C,SETP.WORLD,CO2EII_RESULTS_SUMMARY,AEMO,PUBLIC,26/08/2022,12:55:25,369522107,,369522091,
D,CO2EII,PUBLISHING,1,2020,27,29/06/2020 0:00,NEM,561106.6905,405684.4031,0.723
D,CO2EII,PUBLISHING,1,2020,27,29/06/2020 0:00,NSW1,193771.969,156437.4902,0.8073
D,CO2EII,PUBLISHING,1,2020,27,29/06/2020 0:00,QLD1,155816.4108,112573.5921,0.7225
D,CO2EII,PUBLISHING,1,2020,27,29/06/2020 0:00,SA1,43976.26045,11915.95072,0.271
D,CO2EII,PUBLISHING,1,2020,27,29/06/2020 0:00,TAS1,39809.02324,244.770841,0.0061
D,CO2EII,PUBLISHING,1,2020,27,29/06/2020 0:00,VIC1,127733.027,124512.5992,0.9748
D,CO2EII,PUBLISHING,1,2020,27,30/06/2020 0:00,NEM,562772.2515,393389.1572,0.699
D,CO2EII,PUBLISHING,1,2020,27,30/06/2020 0:00,NSW1,189687.2169,150041.0545,0.791
D,CO2EII,PUBLISHING,1,2020,27,30/06/2020 0:00,QLD1,155211.4084,112904.2174,0.7274
D,CO2EII,PUBLISHING,1,2020,27,30/06/2020 0:00,SA1,39219.15831,8026.857951,0.2047
D,CO2EII,PUBLISHING,1,2020,27,30/06/2020 0:00,TAS1,33784.09453,1.64233102,0
D,CO2EII,PUBLISHING,1,2020,27,30/06/2020 0:00,VIC1,144870.3733,122415.385,0.845
